,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_perc,team
0,2022-08-13,19:00,La Liga,Matchweek 1,Sat,Home,L,0,3,Villarreal,1.0,0.0,0.0,6.0,10.0,2.0,22.0,19.0,8.0,0.0,0.0,0.0,51.0,10.0,12.0,45.5,Valladolid
1,2022-08-19,22:00,La Liga,Matchweek 2,Fri,Away,D,1,1,Sevilla,2.0,1.0,0.0,10.0,19.0,4.0,5.0,8.0,16.0,0.0,0.0,0.0,51.0,16.0,16.0,50.0,Valladolid
2,2022-08-28,19:30,La Liga,Matchweek 3,Sun,Away,L,0,4,Barcelona,2.0,0.0,0.0,8.0,9.0,3.0,10.0,9.0,11.0,0.0,0.0,0.0,44.0,8.0,13.0,38.1,Valladolid
3,2022-09-05,21:00,La Liga,Matchweek 4,Mon,Home,W,1,0,Almería,1.0,0.0,0.0,11.0,17.0,6.0,20.0,12.0,8.0,0.0,0.0,0.0,45.0,14.0,21.0,40.0,Valladolid
4,2022-09-09,21:00,La Liga,Matchweek 5,Fri,Away,L,1,2,Girona,2.0,0.0,0.0,15.0,11.0,0.0,27.0,16.0,11.0,0.0,0.0,0.0,44.0,14.0,17.0,45.2,Valladolid
5,2022-09-16,21:00,La Liga,Matchweek 6,Fri,Home,L,0,1,Cádiz,1.0,0.0,0.0,12.0,19.0,2.0,33.0,2.0,12.0,0.0,0.0,0.0,51.0,9.0,14.0,39.1,Valladolid
6,2022-10-01,16:15,La Liga,Matchweek 7,Sat,Away,W,3,2,Getafe,5.0,0.0,0.0,13.0,21.0,3.0,9.0,7.0,5.0,1.0,1.0,0.0,57.0,12.0,14.0,46.2,Valladolid
7,2022-10-09,14:00,La Liga,Matchweek 8,Sun,Home,D,0,0,Betis,1.0,0.0,0.0,12.0,12.0,1.0,25.0,7.0,13.0,0.0,0.0,0.0,56.0,10.0,12.0,45.5,Valladolid
8,2022-10-16,18:30,La Liga,Matchweek 9,Sun,Away,L,0,1,Espanyol,4.0,0.0,0.0,11.0,11.0,2.0,12.0,5.0,11.0,0.0,0.0,0.0,43.0,19.0,18.0,51.4,Valladolid
9,2022-10-19,19:00,La Liga,Matchweek 10,Wed,Home,W,4,1,Celta Vigo,1.0,0.0,0.0,12.0,8.0,0.0,17.0,7.0,16.0,1.0,1.0,0.0,44.0,17.0,14.0,54.8,Valladolid
