,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,team
0,2022-08-15,19:30,La Liga,Matchweek 1,Mon,Away,W,3.0,0.0,Getafe,1.2,0.6,58.0,12235.0,Koke,3-5-2,José Sánchez,Atletico Madrid
1,2022-08-21,19:30,La Liga,Matchweek 2,Sun,Home,L,0.0,2.0,Villarreal,1.3,2.0,51.0,57033.0,Koke,3-5-2,Ricardo de Burgos,Atletico Madrid
2,2022-08-29,22:00,La Liga,Matchweek 3,Mon,Away,W,1.0,0.0,Valencia,1.7,0.6,31.0,43910.0,Koke,3-5-2,Guillermo Cuadra,Atletico Madrid
3,2022-09-03,18:30,La Liga,Matchweek 4,Sat,Away,D,1.0,1.0,Real Sociedad,1.2,1.0,45.0,35366.0,Koke,3-5-2,César Soto,Atletico Madrid
5,2022-09-10,21:00,La Liga,Matchweek 5,Sat,Home,W,4.0,1.0,Celta Vigo,0.8,1.4,46.0,52247.0,Mario Hermoso,3-5-2,Alejandro Hernández,Atletico Madrid
7,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Home,L,1.0,2.0,Real Madrid,1.0,0.9,54.0,66881.0,Koke,3-5-2,José Luis Munuera,Atletico Madrid
8,2022-10-01,18:30,La Liga,Matchweek 7,Sat,Away,W,2.0,0.0,Sevilla,2.3,0.5,40.0,37754.0,Koke,4-1-4-1,Ricardo de Burgos,Atletico Madrid
10,2022-10-08,16:15,La Liga,Matchweek 8,Sat,Home,W,2.0,1.0,Girona,1.5,0.5,45.0,54069.0,Koke,3-4-3,Juan Martínez,Atletico Madrid
12,2022-10-15,21:00,La Liga,Matchweek 9,Sat,Away,,,,Athletic Club,,,,,,,,Atletico Madrid
13,2022-10-18,21:00,La Liga,Matchweek 10,Tue,Home,,,,Rayo Vallecano,,,,,,,,Atletico Madrid
14,2022-10-23,16:15,La Liga,Matchweek 11,Sun,Away,,,,Betis,,,,,,,,Atletico Madrid
45,2022-08-14,22:00,La Liga,Matchweek 1,Sun,Away,W,2.0,1.0,Almería,2.4,0.6,67.0,14386.0,Karim Benzema,4-3-3,Juan Martínez,Real Madrid
46,2022-08-20,22:00,La Liga,Matchweek 2,Sat,Away,W,4.0,1.0,Celta Vigo,3.4,1.3,50.0,15681.0,Karim Benzema,4-3-3,Jesús Gil,Real Madrid
47,2022-08-28,22:00,La Liga,Matchweek 3,Sun,Away,W,3.0,1.0,Espanyol,1.6,1.1,65.0,25778.0,Karim Benzema,4-3-3,Mario Melero,Real Madrid
48,2022-09-03,16:15,La Liga,Matchweek 4,Sat,Home,W,2.0,1.0,Betis,2.6,0.5,49.0,58579.0,Karim Benzema,4-3-3,José Sánchez,Real Madrid
50,2022-09-11,14:00,La Liga,Matchweek 5,Sun,Home,W,4.0,1.0,Mallorca,1.6,0.4,68.0,54816.0,Toni Kroos,4-3-3,Jorge Figueroa,Real Madrid
52,2022-09-18,21:00,La Liga,Matchweek 6,Sun,Away,W,2.0,1.0,Atlético Madrid,0.9,1.0,46.0,66881.0,Luka Modrić,4-3-3,José Luis Munuera,Real Madrid
53,2022-10-02,21:00,La Liga,Matchweek 7,Sun,Home,D,1.0,1.0,Osasuna,2.6,0.5,64.0,55410.0,Karim Benzema,4-3-3,Guillermo Cuadra,Real Madrid
55,2022-10-08,21:00,La Liga,Matchweek 8,Sat,Away,W,1.0,0.0,Getafe,1.2,0.3,65.0,14502.0,Luka Modrić,4-3-3,Antonio Matéu Lahoz,Real Madrid
57,2022-10-16,16:15,La Liga,Matchweek 9,Sun,Home,,,,Barcelona,,,,,,,,Real Madrid
58,2022-10-19,21:00,La Liga,Matchweek 10,Wed,Away,,,,Elche,,,,,,,,Real Madrid
59,2022-10-22,21:00,La Liga,Matchweek 11,Sat,Home,,,,Sevilla,,,,,,,,Real Madrid
89,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Home,D,0.0,0.0,Rayo Vallecano,2.1,0.9,67.0,81104.0,Sergio Busquets,4-3-3,Alejandro Hernández,Barcelona
90,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Away,W,4.0,1.0,Real Sociedad,2.2,0.6,59.0,36201.0,Marc-André ter Stegen,3-4-3,José Luis Munuera,Barcelona
91,2022-08-28,19:30,La Liga,Matchweek 3,Sun,Home,W,4.0,0.0,Valladolid,2.9,0.6,68.0,83972.0,Sergio Busquets,4-3-3,Ricardo de Burgos,Barcelona
92,2022-09-03,21:00,La Liga,Matchweek 4,Sat,Away,W,3.0,0.0,Sevilla,3.2,1.1,54.0,40233.0,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Barcelona
94,2022-09-10,18:30,La Liga,Matchweek 5,Sat,Away,W,4.0,0.0,Cádiz,3.0,0.3,69.0,19530.0,Sergio Busquets,4-3-3,Carlos del Cerro,Barcelona
96,2022-09-17,16:15,La Liga,Matchweek 6,Sat,Home,W,3.0,0.0,Elche,4.1,0.0,77.0,85073.0,Marc-André ter Stegen,4-3-3,Alejandro Muñíz,Barcelona
97,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Away,W,1.0,0.0,Mallorca,0.5,0.9,71.0,18103.0,Sergio Busquets,4-3-3,Jesús Gil,Barcelona
99,2022-10-09,21:00,La Liga,Matchweek 8,Sun,Home,W,1.0,0.0,Celta Vigo,2.1,1.5,58.0,81525.0,Sergio Busquets,4-3-3,José Luis Munuera,Barcelona
101,2022-10-16,16:15,La Liga,Matchweek 9,Sun,Away,,,,Real Madrid,,,,,,,,Barcelona
102,2022-10-20,21:00,La Liga,Matchweek 10,Thu,Home,,,,Villarreal,,,,,,,,Barcelona
103,2022-10-23,21:00,La Liga,Matchweek 11,Sun,Home,,,,Athletic Club,,,,,,,,Barcelona
133,2022-08-15,17:30,La Liga,Matchweek 1,Mon,Home,D,0.0,0.0,Mallorca,1.6,0.4,64.0,39747.0,Iker Muniain,4-3-3,Javier Villanueva,Athletic Club
134,2022-08-21,17:30,La Liga,Matchweek 2,Sun,Home,W,1.0,0.0,Valencia,1.5,0.9,38.0,43333.0,Iker Muniain,4-2-3-1,César Soto,Athletic Club
135,2022-08-29,20:00,La Liga,Matchweek 3,Mon,Away,W,4.0,0.0,Cádiz,2.2,0.4,63.0,17029.0,Iker Muniain,4-2-3-1,Miguel Ángel Ortiz Arias,Athletic Club
136,2022-09-04,16:15,La Liga,Matchweek 4,Sun,Home,L,0.0,1.0,Espanyol,1.3,0.5,65.0,41574.0,Iker Muniain,4-2-3-1,Juan Martínez,Athletic Club
137,2022-09-11,16:15,La Liga,Matchweek 5,Sun,Away,W,4.0,1.0,Elche,2.2,0.9,53.0,24176.0,Iker Muniain,4-2-3-1,Mario Melero,Athletic Club
138,2022-09-17,21:00,La Liga,Matchweek 6,Sat,Home,W,3.0,2.0,Rayo Vallecano,2.6,1.0,39.0,43484.0,Iker Muniain,4-2-3-1,Antonio Matéu Lahoz,Athletic Club
139,2022-09-30,21:00,La Liga,Matchweek 7,Fri,Home,W,4.0,0.0,Almería,1.9,0.7,59.0,42110.0,Iker Muniain,4-2-3-1,Juan Pulido,Athletic Club
140,2022-10-08,18:30,La Liga,Matchweek 8,Sat,Away,D,1.0,1.0,Sevilla,1.6,1.3,54.0,36502.0,Iker Muniain,4-2-3-1,Jesús Gil,Athletic Club
141,2022-10-15,21:00,La Liga,Matchweek 9,Sat,Home,,,,Atlético Madrid,,,,,,,,Athletic Club
142,2022-10-18,20:00,La Liga,Matchweek 10,Tue,Away,,,,Getafe,,,,,,,,Athletic Club
143,2022-10-23,21:00,La Liga,Matchweek 11,Sun,Away,,,,Barcelona,,,,,,,,Athletic Club
171,2022-08-14,17:30,La Liga,Matchweek 1,Sun,Away,W,1.0,0.0,Cádiz,1.7,0.3,60.0,16570.0,Aritz Elustondo,4-4-2◆,Isidro Díaz de Mera,Real Sociedad
172,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Home,L,1.0,4.0,Barcelona,0.6,2.2,41.0,36201.0,Aritz Elustondo,4-4-2◆,José Luis Munuera,Real Sociedad
173,2022-08-27,17:30,La Liga,Matchweek 3,Sat,Away,W,1.0,0.0,Elche,1.7,0.8,54.0,22656.0,Mikel Merino,4-4-2◆,Javier Villanueva,Real Sociedad
174,2022-09-03,18:30,La Liga,Matchweek 4,Sat,Home,D,1.0,1.0,Atlético Madrid,1.0,1.2,55.0,35366.0,Mikel Merino,4-4-2◆,César Soto,Real Sociedad
