,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
1255,1.0,Fri,2022-08-12,21:00,Osasuna,2–1,Sevilla,18536.0,Estadio El Sadar,Carlos del Cerro,1.3,0.8
1256,1.0,Sat,2022-08-13,17:00,Celta Vigo,2–2,Espanyol,13859.0,Estadio de Balaídos,Miguel Ángel Ortiz Arias,0.3,1.2
1257,1.0,Sat,2022-08-13,19:00,Valladolid,0–3,Villarreal,17543.0,Estadio Municipal José Zorrilla,Mario Melero,0.9,1.4
1258,1.0,Sat,2022-08-13,21:00,Barcelona,0–0,Rayo Vallecano,81104.0,Camp Nou,Alejandro Hernández,2.1,0.9
1259,1.0,Sun,2022-08-14,17:30,Cádiz,0–1,Real Sociedad,16570.0,Estadio Nuevo Mirandilla,Isidro Díaz de Mera,0.3,1.7
1260,1.0,Sun,2022-08-14,19:30,Valencia,1–0,Girona,39359.0,Estadio de Mestalla,Jorge Figueroa,1.7,0.1
1261,1.0,Sun,2022-08-14,22:00,Almería,1–2,Real Madrid,14386.0,Estadio de los Juegos Mediterráneos,Juan Martínez,0.6,2.4
1262,1.0,Mon,2022-08-15,17:30,Athletic Club,0–0,Mallorca,39747.0,San Mamés,Javier Villanueva,1.6,0.4
1263,1.0,Mon,2022-08-15,19:30,Getafe,0–3,Atlético Madrid,12235.0,Coliseum Alfonso Pérez,José Sánchez,0.6,1.2
1264,1.0,Mon,2022-08-15,21:30,Betis,3–0,Elche,50622.0,Estadio Benito Villamarín,Guillermo Cuadra,3.0,0.4
1266,2.0,Fri,2022-08-19,20:00,Espanyol,0–2,Rayo Vallecano,16071.0,RCDE Stadium,Jorge Figueroa,1.0,1.6
1267,2.0,Fri,2022-08-19,22:00,Sevilla,1–1,Valladolid,33991.0,Estadio Ramón Sánchez Pizjuán,Juan Pulido,2.6,0.8
1268,2.0,Sat,2022-08-20,17:30,Osasuna,2–0,Cádiz,18587.0,Estadio El Sadar,Antonio Matéu Lahoz,2.6,1.3
1269,2.0,Sat,2022-08-20,19:30,Mallorca,1–2,Betis,15579.0,Iberostar Estadi,Pablo González,1.0,2.2
1270,2.0,Sat,2022-08-20,22:00,Celta Vigo,1–4,Real Madrid,15681.0,Estadio de Balaídos,Jesús Gil,1.3,3.4
1271,2.0,Sun,2022-08-21,17:30,Athletic Club,1–0,Valencia,43333.0,San Mamés,César Soto,1.5,0.9
1272,2.0,Sun,2022-08-21,19:30,Atlético Madrid,0–2,Villarreal,57033.0,Estadio Wanda Metropolitano,Ricardo de Burgos,1.3,2.0
1273,2.0,Sun,2022-08-21,22:00,Real Sociedad,1–4,Barcelona,36201.0,Estadio Municipal de Anoeta,José Luis Munuera,0.6,2.2
1274,2.0,Mon,2022-08-22,20:00,Elche,1–1,Almería,23361.0,Estadio Manuel Martínez Valero,Isidro Díaz de Mera,1.1,0.9
1275,2.0,Mon,2022-08-22,22:00,Girona,3–1,Getafe,10460.0,Estadi Municipal de Montilivi,Alejandro Muñíz,1.1,0.7
1277,3.0,Fri,2022-08-26,20:00,Girona,0–1,Celta Vigo,11329.0,Estadi Municipal de Montilivi,Carlos del Cerro,0.8,0.7
1278,3.0,Fri,2022-08-26,22:00,Betis,1–0,Osasuna,52580.0,Estadio Benito Villamarín,Juan Martínez,0.4,1.0
1279,3.0,Sat,2022-08-27,17:30,Elche,0–1,Real Sociedad,22656.0,Estadio Manuel Martínez Valero,Javier Villanueva,0.8,1.7
1280,3.0,Sat,2022-08-27,19:30,Rayo Vallecano,0–2,Mallorca,10944.0,Estadio del Rayo Vallecano,José Sánchez,0.9,0.6
1281,3.0,Sat,2022-08-27,22:00,Almería,2–1,Sevilla,13788.0,Estadio de los Juegos Mediterráneos,Jesús Gil,2.1,1.1
1282,3.0,Sun,2022-08-28,17:30,Getafe,0–0,Villarreal,9815.0,Coliseum Alfonso Pérez,Jorge Figueroa,0.3,0.8
