,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
0,2022-08-15,17:30,La Liga,Matchweek 1,Mon,Home,D,0,0,Mallorca,0.0,23.0,6.0,26.1,0.0,0.0,17.6,0.0,0.0,0.0,1.6,1.6,0.07,-1.6,-1.6,Athletic Club
1,2022-08-21,17:30,La Liga,Matchweek 2,Sun,Home,W,1,0,Valencia,1.0,12.0,2.0,16.7,0.08,0.5,18.4,0.0,0.0,0.0,1.5,1.5,0.12,-0.5,-0.5,Athletic Club
2,2022-08-29,20:00,La Liga,Matchweek 3,Mon,Away,W,4,0,Cádiz,4.0,19.0,7.0,36.8,0.21,0.57,16.5,0.0,0.0,1.0,2.2,1.4,0.08,1.8,2.6,Athletic Club
3,2022-09-04,16:15,La Liga,Matchweek 4,Sun,Home,L,0,1,Espanyol,0.0,17.0,2.0,11.8,0.0,0.0,18.1,0.0,0.0,0.0,1.3,1.3,0.08,-1.3,-1.3,Athletic Club
4,2022-09-11,16:15,La Liga,Matchweek 5,Sun,Away,W,4,1,Elche,3.0,15.0,7.0,46.7,0.13,0.29,15.8,0.0,1.0,1.0,2.2,1.4,0.1,0.8,0.6,Athletic Club
5,2022-09-17,21:00,La Liga,Matchweek 6,Sat,Home,W,3,2,Rayo Vallecano,3.0,14.0,7.0,50.0,0.21,0.43,14.2,0.0,0.0,0.0,2.6,2.6,0.19,0.4,0.4,Athletic Club
6,2022-09-30,21:00,La Liga,Matchweek 7,Fri,Home,W,4,0,Almería,4.0,18.0,4.0,22.2,0.17,0.75,18.6,1.0,1.0,1.0,1.9,1.1,0.06,2.1,1.9,Athletic Club
7,2022-10-08,18:30,La Liga,Matchweek 8,Sat,Away,D,1,1,Sevilla,1.0,19.0,4.0,21.1,0.05,0.25,17.6,1.0,0.0,0.0,1.6,1.6,0.09,-0.6,-0.6,Athletic Club
8,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Home,D,0,0,Rayo Vallecano,0.0,21.0,5.0,23.8,0.0,0.0,16.6,1.0,0.0,0.0,2.1,2.1,0.1,-2.1,-2.1,Barcelona
9,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Away,W,4,1,Real Sociedad,4.0,15.0,7.0,46.7,0.27,0.57,13.8,0.0,0.0,0.0,2.2,2.2,0.15,1.8,1.8,Barcelona
10,2022-08-28,19:30,La Liga,Matchweek 3,Sun,Home,W,4,0,Valladolid,4.0,25.0,9.0,36.0,0.16,0.44,13.9,1.0,0.0,0.0,2.9,2.9,0.12,1.1,1.1,Barcelona
11,2022-09-03,21:00,La Liga,Matchweek 4,Sat,Away,W,3,0,Sevilla,3.0,19.0,6.0,31.6,0.16,0.5,16.0,2.0,0.0,0.0,3.2,3.2,0.18,-0.2,-0.2,Barcelona
13,2022-09-10,18:30,La Liga,Matchweek 5,Sat,Away,W,4,0,Cádiz,4.0,16.0,8.0,50.0,0.25,0.5,15.0,0.0,0.0,0.0,3.0,3.0,0.19,1.0,1.0,Barcelona
15,2022-09-17,16:15,La Liga,Matchweek 6,Sat,Home,W,3,0,Elche,3.0,25.0,9.0,36.0,0.12,0.33,14.8,0.0,0.0,0.0,4.1,4.1,0.17,-1.1,-1.1,Barcelona
16,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Away,W,1,0,Mallorca,1.0,11.0,3.0,27.3,0.09,0.33,19.2,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,Barcelona
18,2022-10-09,21:00,La Liga,Matchweek 8,Sun,Home,W,1,0,Celta Vigo,1.0,13.0,5.0,38.5,0.08,0.2,13.6,0.0,0.0,0.0,2.1,2.1,0.17,-1.1,-1.1,Barcelona
20,2022-08-14,17:30,La Liga,Matchweek 1,Sun,Away,W,1,0,Cádiz,1.0,15.0,7.0,46.7,0.07,0.14,18.0,0.0,0.0,0.0,1.7,1.7,0.11,-0.7,-0.7,Real Sociedad
