_date_,_time_,comp,round,_day_,attendance,referee,home,away,homegoal,xg_home,awaygoal,xg_away,homeformation,awayformation,homepossession,awaypossession,homecaptain,awaycaptain
2017-08-18,20:15:00,La Liga,Matchweek 1,Fri,9231,José Munuera,Leganés,Alavés,1,1.4,0,1.2,4-2-3-1,4-4-2,54.0,46.0,Martín Mantovani,Manu García
2017-08-18,22:15:00,La Liga,Matchweek 1,Fri,35971,Jesús Gil,Valencia,Las Palmas,1,1.9,0,0.3,4-4-2,4-5-1,48.0,52.0,Daniel Parejo,Jonathan Viera
2017-08-19,22:15:00,La Liga,Matchweek 1,Sat,30487,Alejandro Hernández,Sevilla,Espanyol,1,2.1,1,1.1,4-1-4-1,4-4-2,62.0,38.0,Jesús Navas,Gerard Moreno
2017-08-19,20:15:00,La Liga,Matchweek 1,Sat,11511,Juan Martínez,Girona,Atlético Madrid,2,2.1,2,0.8,3-4-3,4-4-2,53.0,47.0,Álex Granell,Gabi
2017-08-19,18:15:00,La Liga,Matchweek 1,Sat,16961,Antonio Matéu Lahoz,Celta Vigo,Real Sociedad,2,1.6,3,2.4,4-3-3,4-3-3,53.0,47.0,Hugo Mallo,Xabi Prieto
2017-08-20,22:15:00,La Liga,Matchweek 1,Sun,27770,José González,La Coruña,Real Madrid,0,2.0,3,2.5,4-2-3-1,4-4-2◆,33.0,67.0,Pedro Mosquera,Sergio Ramos
2017-08-20,20:15:00,La Liga,Matchweek 1,Sun,56480,Daniel Trujillo,Barcelona,Betis,2,1.7,0,0.3,4-4-1-1,4-3-3,60.0,40.0,Lionel Messi,Joaquín
2017-08-20,18:15:00,La Liga,Matchweek 1,Sun,37884,Mario Melero,Athletic Club,Getafe,0,1.4,0,0.4,4-2-3-1,4-4-2,64.0,36.0,Markel Susaeta,Jorge Molina
2017-08-21,20:15:00,La Liga,Matchweek 1,Mon,19500,Alfonso Álvarez,Levante,Villarreal,1,1.3,0,0.3,4-3-3,4-4-2,42.0,58.0,José Luis Morales,Antonio Rukavina
2017-08-21,22:00:00,La Liga,Matchweek 1,Mon,24753,David Medié,Málaga,Eibar,0,0.7,1,0.9,3-4-3,4-4-2,55.0,45.0,Recio,Dani García
2017-08-25,20:15:00,La Liga,Matchweek 2,Fri,19931,Javier Estrada,Real Sociedad,Villarreal,3,2.7,0,0.2,4-3-3,4-4-2,60.0,40.0,Xabi Prieto,Jaume Costa
2017-08-25,22:00:00,La Liga,Matchweek 2,Fri,45761,Ricardo de Burgos,Betis,Celta Vigo,2,1.3,1,0.3,4-1-4-1,4-3-3,46.0,54.0,Joaquín,Hugo Mallo
2017-08-26,20:15:00,La Liga,Matchweek 2,Sat,17370,Alberola Rojas,Levante,La Coruña,2,2.4,2,1.1,4-2-3-1,4-2-3-1,56.0,44.0,José Luis Morales,Pedro Mosquera
2017-08-26,21:15:00,La Liga,Matchweek 2,Sat,20384,Ignacio Iglesias,Las Palmas,Atlético Madrid,1,1.3,5,0.7,4-2-3-1,4-4-2,62.0,38.0,Jonathan Viera,Diego Godín
2017-08-26,18:15:00,La Liga,Matchweek 2,Sat,19356,Carlos del Cerro,Alavés,Barcelona,0,0.8,2,2.4,4-5-1,4-3-3,27.0,73.0,Manu García,Andrés Iniesta
2017-08-26,20:15:00,La Liga,Matchweek 2,Sat,9966,Santiago Jaime,Girona,Málaga,1,1.9,0,0.4,3-2-2-3,4-2-3-1,46.0,54.0,Álex Granell,Recio
2017-08-27,18:15:00,La Liga,Matchweek 2,Sun,5932,José Sánchez,Eibar,Athletic Club,0,1.1,1,0.5,4-4-2,4-2-3-1,57.0,43.0,Dani García,Mikel San José
2017-08-27,22:15:00,La Liga,Matchweek 2,Sun,65107,David Fernández,Real Madrid,Valencia,2,2.8,2,1.3,4-3-3,4-4-2,66.0,34.0,Marcelo,Daniel Parejo
2017-08-27,18:15:00,La Liga,Matchweek 2,Sun,18383,Pablo González,Espanyol,Leganés,0,1.5,1,1.7,4-4-2,4-3-3,59.0,41.0,Javi López,Martín Mantovani
2017-08-27,20:15:00,La Liga,Matchweek 2,Sun,10039,Alberto Undiano,Getafe,Sevilla,0,1.4,1,0.6,4-4-2,4-1-4-1,44.0,56.0,Jorge Molina,Nicolás Pareja
2017-09-08,21:00:00,La Liga,Matchweek 3,Fri,11454,Alfonso Álvarez,Leganés,Getafe,1,1.7,2,0.3,4-2-3-1,4-4-2,60.0,40.0,Martín Mantovani,Jorge Molina
2017-09-09,20:45:00,La Liga,Matchweek 3,Sat,72857,Jesús Gil,Barcelona,Espanyol,5,3.5,0,0.7,4-4-2,4-4-2,75.0,25.0,Andrés Iniesta,Víctor Sánchez
2017-09-09,16:15:00,La Liga,Matchweek 3,Sat,43859,José González,Valencia,Atlético Madrid,0,0.5,0,0.9,4-4-2,4-4-2,49.0,51.0,Daniel Parejo,Koke
