_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away,homegoal,awaygoal
1,Fri,2017-08-18,20:15:00,Leganés,1–0,Alavés,9231,Estadio Municipal de Butarque,José Munuera,1.4,1.2,1,0
1,Fri,2017-08-18,22:15:00,Valencia,1–0,Las Palmas,35971,Estadio de Mestalla,Jesús Gil,1.9,0.3,1,0
1,Sat,2017-08-19,18:15:00,Celta Vigo,2–3,Real Sociedad,16961,Estadio de Balaídos,Antonio Matéu Lahoz,1.6,2.4,2,3
1,Sat,2017-08-19,20:15:00,Girona,2–2,Atlético Madrid,11511,Estadi Municipal de Montilivi,Juan Martínez,2.1,0.8,2,2
1,Sat,2017-08-19,22:15:00,Sevilla,1–1,Espanyol,30487,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,2.1,1.1,1,1
1,Sun,2017-08-20,18:15:00,Athletic Club,0–0,Getafe,37884,San Mamés,Mario Melero,1.4,0.4,0,0
1,Sun,2017-08-20,20:15:00,Barcelona,2–0,Betis,56480,Camp Nou,Daniel Trujillo,1.7,0.3,2,0
1,Sun,2017-08-20,22:15:00,La Coruña,0–3,Real Madrid,27770,Estadio Municipal de Riazor,José González,2.0,2.5,0,3
1,Mon,2017-08-21,20:15:00,Levante,1–0,Villarreal,19500,Estadio Ciudad de Valencia,Alfonso Álvarez,1.3,0.3,1,0
1,Mon,2017-08-21,22:00:00,Málaga,0–1,Eibar,24753,Estadio La Rosaleda,David Medié,0.7,0.9,0,1
2,Fri,2017-08-25,22:00:00,Betis,2–1,Celta Vigo,45761,Estadio Benito Villamarín,Ricardo de Burgos,1.3,0.3,2,1
2,Fri,2017-08-25,20:15:00,Real Sociedad,3–0,Villarreal,19931,Estadio Municipal de Anoeta,Javier Estrada,2.7,0.2,3,0
2,Sat,2017-08-26,18:15:00,Alavés,0–2,Barcelona,19356,Estadio de Mendizorroza,Carlos del Cerro,0.8,2.4,0,2
2,Sat,2017-08-26,21:15:00,Las Palmas,1–5,Atlético Madrid,20384,Estadio de Gran Canaria,Ignacio Iglesias,1.3,0.7,1,5
2,Sat,2017-08-26,20:15:00,Levante,2–2,La Coruña,17370,Estadio Ciudad de Valencia,Alberola Rojas,2.4,1.1,2,2
2,Sat,2017-08-26,20:15:00,Girona,1–0,Málaga,9966,Estadi Municipal de Montilivi,Santiago Jaime,1.9,0.4,1,0
2,Sun,2017-08-27,18:15:00,Eibar,0–1,Athletic Club,5932,Estadio Municipal de Ipurúa,José Sánchez,1.1,0.5,0,1
2,Sun,2017-08-27,18:15:00,Espanyol,0–1,Leganés,18383,RCDE Stadium,Pablo González,1.5,1.7,0,1
2,Sun,2017-08-27,22:15:00,Real Madrid,2–2,Valencia,65107,Estadio Santiago Bernabéu,David Fernández,2.8,1.3,2,2
2,Sun,2017-08-27,20:15:00,Getafe,0–1,Sevilla,10039,Coliseum Alfonso Pérez,Alberto Undiano,1.4,0.6,0,1
3,Fri,2017-09-08,21:00:00,Leganés,1–2,Getafe,11454,Estadio Municipal de Butarque,Alfonso Álvarez,1.7,0.3,1,2
3,Sat,2017-09-09,16:15:00,Valencia,0–0,Atlético Madrid,43859,Estadio de Mestalla,José González,0.5,0.9,0,0
3,Sat,2017-09-09,13:00:00,Real Madrid,1–1,Levante,67789,Estadio Santiago Bernabéu,Alejandro Hernández,2.1,0.5,1,1
3,Sat,2017-09-09,20:45:00,Barcelona,5–0,Espanyol,72857,Camp Nou,Jesús Gil,3.5,0.7,5,0
3,Sat,2017-09-09,18:30:00,Sevilla,3–0,Eibar,32469,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,2.9,0.4,3,0
3,Sun,2017-09-10,18:30:00,Celta Vigo,1–0,Alavés,17384,Estadio de Balaídos,Mario Melero,2.2,0.6,1,0
3,Sun,2017-09-10,12:00:00,La Coruña,2–4,Real Sociedad,21942,Estadio Municipal de Riazor,José Munuera,1.3,1.6,2,4
3,Sun,2017-09-10,20:45:00,Villarreal,3–1,Betis,18638,Estadio de la Cerámica,David Medié,1.3,0.8,3,1
3,Sun,2017-09-10,16:15:00,Athletic Club,2–0,Girona,39952,San Mamés,Daniel Trujillo,1.3,0.4,2,0
3,Mon,2017-09-11,21:00:00,Málaga,1–3,Las Palmas,22697,Estadio La Rosaleda,Xavi Estrada,0.7,1.3,1,3
4,Fri,2017-09-15,21:00:00,Eibar,1–0,Leganés,4986,Estadio Municipal de Ipurúa,Juan Martínez,0.5,0.2,1,0
4,Sat,2017-09-16,18:30:00,Betis,2–1,La Coruña,46174,Estadio Benito Villamarín,Alberto Undiano,2.0,0.4,2,1
4,Sat,2017-09-16,13:00:00,Levante,1–1,Valencia,23084,Estadio Ciudad de Valencia,Carlos del Cerro,0.7,1.9,1,1
4,Sat,2017-09-16,20:45:00,Atlético Madrid,1–0,Málaga,63114,Estadio Wanda Metropolitano,José Sánchez,1.6,0.4,1,0
4,Sat,2017-09-16,16:15:00,Getafe,1–2,Barcelona,15164,Coliseum Alfonso Pérez,David Fernández,0.9,0.6,1,2
4,Sun,2017-09-17,12:00:00,Alavés,0–3,Villarreal,18124,Estadio de Mendizorroza,Santiago Jaime,0.4,1.9,0,3
4,Sun,2017-09-17,16:15:00,Girona,0–1,Sevilla,11032,Estadi Municipal de Montilivi,Ricardo de Burgos,1.6,1.3,0,1
4,Sun,2017-09-17,17:30:00,Las Palmas,1–0,Athletic Club,19213,Estadio de Gran Canaria,Pablo González,0.9,1.0,1,0
4,Sun,2017-09-17,20:45:00,Real Sociedad,1–3,Real Madrid,24966,Estadio Municipal de Anoeta,Ignacio Iglesias,0.7,1.5,1,3
4,Mon,2017-09-18,21:00:00,Espanyol,2–1,Celta Vigo,15026,RCDE Stadium,Alberola Rojas,0.9,1.0,2,1
5,Tue,2017-09-19,22:00:00,Barcelona,6–1,Eibar,51645,Camp Nou,Alejandro Hernández,2.5,1.1,6,1
5,Tue,2017-09-19,20:00:00,Valencia,5–0,Málaga,36215,Estadio de Mestalla,Alfonso Álvarez,3.1,0.8,5,0
5,Wed,2017-09-20,20:00:00,Leganés,0–0,Girona,9781,Estadio Municipal de Butarque,Mario Melero,0.8,1.0,0,0
5,Wed,2017-09-20,22:00:00,Real Madrid,0–1,Betis,65102,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,3.1,1.2,0,1
5,Wed,2017-09-20,22:00:00,Sevilla,1–0,Las Palmas,35317,Estadio Ramón Sánchez Pizjuán,José González,1.1,0.4,1,0
5,Wed,2017-09-20,20:00:00,Athletic Club,1–2,Atlético Madrid,43381,San Mamés,Javier Estrada,2.0,1.8,1,2
5,Wed,2017-09-20,21:00:00,La Coruña,1–0,Alavés,18518,Estadio Municipal de Riazor,David Medié,2.1,0.5,1,0
5,Thu,2017-09-21,20:00:00,Villarreal,0–0,Espanyol,17094,Estadio de la Cerámica,José Munuera,0.9,1.0,0,0
5,Thu,2017-09-21,22:00:00,Levante,3–0,Real Sociedad,17415,Estadio Ciudad de Valencia,Jesús Gil,1.6,1.0,3,0
5,Thu,2017-09-21,21:00:00,Celta Vigo,1–1,Getafe,14700,Estadio de Balaídos,Daniel Trujillo,0.7,0.8,1,1
6,Sat,2017-09-23,18:30:00,Málaga,3–3,Athletic Club,23425,Estadio La Rosaleda,Carlos del Cerro,1.6,1.6,3,3
6,Sat,2017-09-23,13:00:00,Atlético Madrid,2–0,Sevilla,60823,Estadio Wanda Metropolitano,Juan Martínez,1.6,0.5,2,0
6,Sat,2017-09-23,16:15:00,Alavés,1–2,Real Madrid,19159,Estadio de Mendizorroza,Alberto Undiano,0.7,3.1,1,2
6,Sat,2017-09-23,20:45:00,Girona,0–3,Barcelona,13305,Estadi Municipal de Montilivi,José Sánchez,1.1,1.3,0,3
6,Sun,2017-09-24,12:00:00,Espanyol,4–1,La Coruña,19585,RCDE Stadium,Ricardo de Burgos,3.1,1.7,4,1
6,Sun,2017-09-24,16:15:00,Getafe,4–0,Villarreal,10874,Coliseum Alfonso Pérez,Ignacio Iglesias,2.3,0.8,4,0
6,Sun,2017-09-24,18:30:00,Eibar,0–4,Celta Vigo,5345,Estadio Municipal de Ipurúa,David Fernández,0.9,1.6,0,4
6,Sun,2017-09-24,20:45:00,Real Sociedad,2–3,Valencia,20266,Estadio Municipal de Anoeta,Santiago Jaime,0.9,1.7,2,3
6,Sun,2017-09-24,17:30:00,Las Palmas,0–2,Leganés,17560,Estadio de Gran Canaria,Alberola Rojas,0.6,1.2,0,2
6,Mon,2017-09-25,21:00:00,Betis,4–0,Levante,48237,Estadio Benito Villamarín,Pablo González,2.3,0.5,4,0
7,Fri,2017-09-29,21:00:00,Celta Vigo,3–3,Girona,16126,Estadio de Balaídos,Pablo González,2.4,1.7,3,3
7,Sat,2017-09-30,13:00:00,La Coruña,2–1,Getafe,19323,Estadio Municipal de Riazor,Javier Estrada,1.8,1.5,2,1
7,Sat,2017-09-30,16:15:00,Sevilla,2–0,Málaga,34430,Estadio Ramón Sánchez Pizjuán,Daniel Trujillo,2.0,0.5,2,0
7,Sat,2017-09-30,18:30:00,Levante,0–2,Alavés,18528,Estadio Ciudad de Valencia,David Fernández,1.0,2.3,0,2
7,Sat,2017-09-30,20:45:00,Leganés,0–0,Atlético Madrid,11454,Estadio Municipal de Butarque,Jesús Gil,0.5,1.1,0,0
7,Sun,2017-10-01,16:15:00,Barcelona,3–0,Las Palmas,,Camp Nou,José Munuera,3.3,0.6,3,0
7,Sun,2017-10-01,20:45:00,Real Madrid,2–0,Espanyol,71205,Estadio Santiago Bernabéu,José González,2.7,0.7,2,0
7,Sun,2017-10-01,18:30:00,Villarreal,3–0,Eibar,17090,Estadio de la Cerámica,Mario Melero,2.5,0.2,3,0
7,Sun,2017-10-01,18:30:00,Valencia,3–2,Athletic Club,42070,Estadio de Mestalla,Alejandro Hernández,2.3,1.6,3,2
7,Sun,2017-10-01,12:00:00,Real Sociedad,4–4,Betis,19669,Estadio Municipal de Anoeta,Alfonso Álvarez,1.8,1.6,4,4
8,Fri,2017-10-13,21:00:00,Espanyol,0–0,Levante,19365,RCDE Stadium,Alberto Undiano,1.8,0.8,0,0
8,Sat,2017-10-14,13:00:00,Athletic Club,1–0,Sevilla,40197,San Mamés,Ignacio Iglesias,1.7,1.3,1,0
8,Sat,2017-10-14,20:45:00,Atlético Madrid,1–1,Barcelona,64393,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,0.5,1.5,1,1
8,Sat,2017-10-14,18:30:00,Alavés,0–2,Real Sociedad,19840,Estadio de Mendizorroza,Alberola Rojas,0.5,0.7,0,2
8,Sat,2017-10-14,16:15:00,Getafe,1–2,Real Madrid,15350,Coliseum Alfonso Pérez,Juan Martínez,1.3,1.6,1,2
8,Sun,2017-10-15,12:00:00,Eibar,0–0,La Coruña,5125,Estadio Municipal de Ipurúa,Santiago Jaime,0.7,0.3,0,0
8,Sun,2017-10-15,20:45:00,Betis,3–6,Valencia,48792,Estadio Benito Villamarín,José Sánchez,1.9,1.3,3,6
8,Sun,2017-10-15,18:30:00,Málaga,0–2,Leganés,23951,Estadio La Rosaleda,José González,0.6,2.0,0,2
8,Sun,2017-10-15,16:15:00,Girona,1–2,Villarreal,9935,Estadi Municipal de Montilivi,Carlos del Cerro,1.4,1.2,1,2
8,Mon,2017-10-16,20:00:00,Las Palmas,2–5,Celta Vigo,15799,Estadio de Gran Canaria,David Medié,1.8,1.5,2,5
9,Sat,2017-10-21,20:45:00,Barcelona,2–0,Málaga,74397,Camp Nou,Pablo González,1.7,0.7,2,0
9,Sat,2017-10-21,18:30:00,Valencia,4–0,Sevilla,44307,Estadio de Mestalla,Javier Estrada,2.1,1.2,4,0
9,Sat,2017-10-21,16:15:00,Betis,2–0,Alavés,49243,Estadio Benito Villamarín,Daniel Trujillo,0.8,0.7,2,0
9,Sat,2017-10-21,13:00:00,Levante,1–1,Getafe,18064,Estadio Ciudad de Valencia,Ricardo de Burgos,0.5,0.8,1,1
9,Sun,2017-10-22,16:15:00,Celta Vigo,0–1,Atlético Madrid,12978,Estadio de Balaídos,José Munuera,0.8,0.7,0,1
9,Sun,2017-10-22,20:45:00,Real Madrid,3–0,Eibar,66781,Estadio Santiago Bernabéu,Alfonso Álvarez,1.2,0.4,3,0
9,Sun,2017-10-22,18:30:00,Leganés,1–0,Athletic Club,11454,Estadio Municipal de Butarque,Antonio Matéu Lahoz,1.1,0.7,1,0
9,Sun,2017-10-22,12:00:00,Villarreal,4–0,Las Palmas,16606,Estadio de la Cerámica,David Fernández,2.5,1.0,4,0
9,Mon,2017-10-23,21:00:00,La Coruña,1–2,Girona,17463,Estadio Municipal de Riazor,Jesús Gil,1.9,1.9,1,2
9,Mon,2017-10-23,20:00:00,Real Sociedad,1–1,Espanyol,18515,Estadio Municipal de Anoeta,Mario Melero,0.8,0.4,1,1
10,Sat,2017-10-28,22:30:00,Sevilla,2–1,Leganés,32097,Estadio Ramón Sánchez Pizjuán,David Medié,1.4,1.1,2,1
10,Sat,2017-10-28,13:00:00,Alavés,1–2,Valencia,18638,Estadio de Mendizorroza,José González,0.8,1.1,1,2
10,Sat,2017-10-28,18:30:00,Atlético Madrid,1–1,Villarreal,61421,Estadio Wanda Metropolitano,Alberto Undiano,1.5,0.7,1,1
10,Sat,2017-10-28,20:45:00,Athletic Club,0–2,Barcelona,43570,San Mamés,Juan Martínez,1.3,2.5,0,2
10,Sun,2017-10-29,12:00:00,Getafe,2–1,Real Sociedad,11010,Coliseum Alfonso Pérez,José Sánchez,1.8,1.2,2,1
10,Sun,2017-10-29,20:45:00,Málaga,2–1,Celta Vigo,19541,Estadio La Rosaleda,Santiago Jaime,1.7,1.5,2,1
10,Sun,2017-10-29,18:30:00,Eibar,2–2,Levante,5131,Estadio Municipal de Ipurúa,Alberola Rojas,1.0,0.7,2,2
10,Sun,2017-10-29,16:15:00,Girona,2–1,Real Madrid,13382,Estadi Municipal de Montilivi,Alejandro Hernández,1.6,1.7,2,1
10,Mon,2017-10-30,20:00:00,Las Palmas,1–3,La Coruña,14805,Estadio de Gran Canaria,Carlos del Cerro,0.6,1.7,1,3
10,Mon,2017-10-30,21:00:00,Espanyol,1–0,Betis,17856,RCDE Stadium,Ignacio Iglesias,0.8,0.4,1,0
11,Fri,2017-11-03,21:00:00,Betis,2–2,Getafe,42323,Estadio Benito Villamarín,Antonio Matéu Lahoz,1.3,1.2,2,2
11,Sat,2017-11-04,16:15:00,La Coruña,0–1,Atlético Madrid,22733,Estadio Municipal de Riazor,Alfonso Álvarez,0.5,0.5,0,1
11,Sat,2017-11-04,18:30:00,Alavés,1–0,Espanyol,19368,Estadio de Mendizorroza,Pablo González,1.2,0.8,1,0
11,Sat,2017-11-04,20:45:00,Barcelona,2–1,Sevilla,70723,Camp Nou,José González,2.0,0.4,2,1
