_date_,_time_,comp,round,_day_,home,away,homegoal,xg_home,homeshots,homeshots_on_target,home_distance,home_freekicks,home_penkicks,home_penkicksattempt,awaygoal,xg_away,awayshots,awayshots_on_target,away_distance,away_freekicks,away_penkicks,away_penkicksattempt
2017-08-18,20:15:00,La Liga,Matchweek 1,Fri,Leganés,Alavés,1,1.4,14,3,20.8,2,0,0,0,1.2,8,3,21.7,0,0,1
2017-08-18,22:15:00,La Liga,Matchweek 1,Fri,Valencia,Las Palmas,1,1.9,22,6,15.9,2,0,0,0,0.3,5,4,22.9,1,0,0
2017-08-19,22:15:00,La Liga,Matchweek 1,Sat,Sevilla,Espanyol,1,2.1,9,4,11.6,0,0,0,1,1.1,9,6,16.1,0,0,0
2017-08-19,20:15:00,La Liga,Matchweek 1,Sat,Girona,Atlético Madrid,2,2.1,14,6,16.8,0,0,0,2,0.8,9,3,18.0,0,0,0
2017-08-19,18:15:00,La Liga,Matchweek 1,Sat,Celta Vigo,Real Sociedad,2,1.6,16,5,16.9,1,0,0,3,2.4,13,5,17.5,1,1,1
2017-08-20,20:15:00,La Liga,Matchweek 1,Sun,Barcelona,Betis,2,1.7,15,2,18.1,3,0,0,0,0.3,3,0,19.2,0,0,0
2017-08-20,22:15:00,La Liga,Matchweek 1,Sun,La Coruña,Real Madrid,0,2.0,11,4,17.2,0,0,1,3,2.5,16,8,18.0,2,0,0
2017-08-20,18:15:00,La Liga,Matchweek 1,Sun,Athletic Club,Getafe,0,1.4,13,2,14.9,0,0,0,0,0.4,8,2,15.0,0,0,0
2017-08-21,22:00:00,La Liga,Matchweek 1,Mon,Málaga,Eibar,0,0.7,10,4,18.6,0,0,0,1,0.9,13,6,20.7,0,0,0
2017-08-21,20:15:00,La Liga,Matchweek 1,Mon,Levante,Villarreal,1,1.3,13,2,20.0,0,1,1,0,0.3,8,1,14.9,0,0,0
2017-08-25,22:00:00,La Liga,Matchweek 2,Fri,Betis,Celta Vigo,2,1.3,10,3,16.9,1,0,0,1,0.3,9,1,20.9,1,0,0
2017-08-25,20:15:00,La Liga,Matchweek 2,Fri,Real Sociedad,Villarreal,3,2.7,15,9,13.2,0,0,0,0,0.2,6,1,22.9,0,0,0
2017-08-26,21:15:00,La Liga,Matchweek 2,Sat,Las Palmas,Atlético Madrid,1,1.3,10,3,24.8,2,0,1,5,0.7,9,6,17.9,0,0,0
2017-08-26,18:15:00,La Liga,Matchweek 2,Sat,Alavés,Barcelona,0,0.8,11,2,20.9,2,0,0,2,2.4,22,11,17.7,1,0,1
2017-08-26,20:15:00,La Liga,Matchweek 2,Sat,Girona,Málaga,1,1.9,18,4,15.6,0,0,0,0,0.4,7,2,16.7,0,0,0
2017-08-26,20:15:00,La Liga,Matchweek 2,Sat,Levante,La Coruña,2,2.4,24,4,19.5,2,1,1,2,1.1,12,3,15.8,0,0,0
2017-08-27,18:15:00,La Liga,Matchweek 2,Sun,Eibar,Athletic Club,0,1.1,15,5,19.2,0,0,0,1,0.5,9,5,18.6,1,0,0
2017-08-27,22:15:00,La Liga,Matchweek 2,Sun,Real Madrid,Valencia,2,2.8,23,7,15.6,1,0,0,2,1.3,7,3,19.4,1,0,0
2017-08-27,18:15:00,La Liga,Matchweek 2,Sun,Espanyol,Leganés,0,1.5,15,1,17.3,1,0,0,1,1.7,12,8,14.6,0,0,0
2017-08-27,20:15:00,La Liga,Matchweek 2,Sun,Getafe,Sevilla,0,1.4,15,4,20.1,0,0,0,1,0.6,6,3,12.6,0,0,0
2017-09-08,21:00:00,La Liga,Matchweek 3,Fri,Leganés,Getafe,1,1.7,10,6,18.7,0,0,1,2,0.3,10,2,19.1,1,0,0
2017-09-09,20:45:00,La Liga,Matchweek 3,Sat,Barcelona,Espanyol,5,3.5,20,9,12.8,3,0,0,0,0.7,9,1,21.6,0,0,0
2017-09-09,16:15:00,La Liga,Matchweek 3,Sat,Valencia,Atlético Madrid,0,0.5,11,0,18.9,0,0,0,0,0.9,13,4,19.0,0,0,0
2017-09-09,13:00:00,La Liga,Matchweek 3,Sat,Real Madrid,Levante,1,2.1,18,10,15.7,0,0,0,1,0.5,5,2,18.7,1,0,0
2017-09-09,18:30:00,La Liga,Matchweek 3,Sat,Sevilla,Eibar,3,2.9,12,7,13.4,0,0,0,0,0.4,7,1,12.8,0,0,0
2017-09-10,20:45:00,La Liga,Matchweek 3,Sun,Villarreal,Betis,3,1.3,14,7,14.8,0,0,0,1,0.8,8,3,20.6,1,0,0
2017-09-10,18:30:00,La Liga,Matchweek 3,Sun,Celta Vigo,Alavés,1,2.2,20,3,15.5,3,0,0,0,0.6,5,3,14.6,0,0,0
2017-09-10,16:15:00,La Liga,Matchweek 3,Sun,Athletic Club,Girona,2,1.3,7,4,10.6,0,0,0,0,0.4,13,7,25.0,2,0,0
2017-09-10,12:00:00,La Liga,Matchweek 3,Sun,La Coruña,Real Sociedad,2,1.3,11,4,18.1,2,0,0,4,1.6,15,4,15.4,0,0,0
2017-09-11,21:00:00,La Liga,Matchweek 3,Mon,Málaga,Las Palmas,1,0.7,14,6,18.9,1,0,0,3,1.3,10,8,15.9,0,0,0
2017-09-15,21:00:00,La Liga,Matchweek 4,Fri,Eibar,Leganés,1,0.5,10,4,20.9,2,0,0,0,0.2,5,2,16.4,0,0,0
2017-09-16,13:00:00,La Liga,Matchweek 4,Sat,Levante,Valencia,1,0.7,9,3,20.4,0,0,0,1,1.9,13,5,19.1,1,0,0
2017-09-16,16:15:00,La Liga,Matchweek 4,Sat,Getafe,Barcelona,1,0.9,13,4,20.5,1,0,0,2,0.6,7,5,18.4,1,0,0
2017-09-16,20:45:00,La Liga,Matchweek 4,Sat,Atlético Madrid,Málaga,1,1.6,17,4,21.2,0,0,0,0,0.4,9,4,19.3,1,0,0
